hash,user_id,id_user_post,name,timestamp,platform,img_id,party,image_url
0178acfe5058f8fc,136266976,tw_136266976_1440310166352633862,lgbeutin,1632182400,tw,tw_136266976_1440310166352633862,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,fridaysforfuture.de,ig_fridaysforfuture.de_CUA0sMlMNCU,Fridays for Future Deutschland,1632082426,ig,ig_fridaysforfuture.de_CUA0sMlMNCU,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,369941321068587,fb_369941321068587_718431956219520,Bündnis 90/Die Grünen:Projekt-und Ideensammlung für die politische Arbeit,1632167369,fb,fb_369941321068587_718431956219520,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,fridaysforfuture.de,ig_fridaysforfuture.de_CUQYKDqsDX7,Fridays for Future Deutschland,1632604337,ig,ig_fridaysforfuture.de_CUQYKDqsDX7_2,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,fridaysforfutureneuruppin,ig_fridaysforfutureneuruppin_CUA1tBBMsHV,Fridays for Future Neuruppin,1632082957,ig,ig_fridaysforfutureneuruppin_CUA1tBBMsHV,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,1166616013407851,fb_1166616013407851_4485572111512208,Mensch und Politik heute,1632332553,fb,fb_1166616013407851_4485572111512208,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,550223345712783,fb_550223345712783_1021709018564211,Klima27.com international climate protection Klimaschutz,1632167388,fb,fb_550223345712783_1021709018564211,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,1067708419942943,fb_1067708419942943_4462983820415369,"Schein und Sein - in Politik, Wirtschaft und Gesellschaft",1632167339,fb,fb_1067708419942943_4462983820415369,NA,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
0178acfe5058f8fc,120133508052257,fb_120133508052257_4311641705568062,Grüne Ökonomie: nachhaltiges Wirtschaften und erneuerbare Energie,1632167379,fb,fb_120133508052257_4311641705568062,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/0178acfe5058f8fc.jpg
01948ebc7c5bd6c3,859425837415698,fb_859425837415698_4550123858345859,Grüner Ortsverband Starnberg,1630766401,fb,fb_859425837415698_4550123858345859,DIE GRÜNEN,https://raw.githubusercontent.com/nicolarighetti/polarvis-german-election-2021/main/data/top_images_normalized/01948ebc7c5bd6c3.jpg
